System information:
Version                                  | VisiWin7 7.2
Framework                                | DotNet
Project                                  | Single
VisiWin.S7_TIA.Brw.dll           | 3.0.1.56(Debug=False)
VisiWin.Browser.Components.Shared.dll | 7.0.0.41(Debug=False)

Messages
05/03/2024 15:39:11   | Message | Attention: Some items in the PLC project contain special characters. | TIAParser.FormatName() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.03 Basket coating.01 CD.02 Planet.IDB._IDB CD Planet PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB CD Planet PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB CD Planet PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.03 Basket coating.02 DT.01 Lift.IDB._IDB DT Lift PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB DT Lift PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB DT Lift PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB DT Pump Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Pump Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Pump Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Pump Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Pump Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB DT Cooling Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Cooling Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Cooling Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Cooling Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Cooling Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB DT Lift Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Lift Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Lift Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Lift Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Lift Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB DT Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DT Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Main.PC Data handler"IO: Errors"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB CD Main.Alarm manager"IO: Alarm"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB BC Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB BC Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB BC Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB BC Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB BC Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.01 Basket feeding.03 DC.01 Belt.IDB._IDB DC Belt PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB DC Belt PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB DC Belt PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDS DC Slider Faults.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDS DC Slider Faults.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDS DC Slider Faults.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDS DC Slider Faults.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDS DC Slider Faults.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB DC Scale Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Scale Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Scale Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Scale Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Scale Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB DC Belt Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Belt Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Belt Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Belt Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB DC Belt Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.01 Basket feeding.02 HC.01 Belt.IDB._IDB HC Belt PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB HC Belt PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB HC Belt PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB HC Scale Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Scale Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Scale Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Scale Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Scale Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB HC Belt Alarm.Fault Handler 15 Byte"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Fault Handler 15 Byte"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Fault Handler 15 Byte"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Fault Handler 15 Byte"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Fault Handler 15 Byte"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB HC Belt Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB HC Belt Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB LD Orders.PC Data handler"IO: Errors"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Orders.Order change"I: Move"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.01 Basket feeding.01 LD.00 Main.IDB._IDB LD Lift PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB LD Lift PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC__IDB LD Lift PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB LD Lid Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lid Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lid Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lid Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lid Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB LD Clamp Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Clamp Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Clamp Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Clamp Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Clamp Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB LD Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Pointer" of item "RFC_IDB LD Lift Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:11   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lift Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lift Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lift Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Lift Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Pointer" of item "RFC_IDB LD Tilt Alarm.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Tilt Alarm.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Tilt Alarm.Alarm manager"IO: Warning"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Tilt Alarm.Alarm manager"IO: Message"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB LD Tilt Alarm.Alarm manager"IO: Predictive"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Pointer" of item "PLC.Blocks.01 Basket feeding.04 BS.01 Rotary.Library._IDB BS Rotary PN.IO: MOP Setup" is not supported! | TIAParser.CreateItemInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC__IDB BS Rotary PN.sGETIO_PARTINPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC__IDB BS Rotary PN.sSETIO_PARTOUTPUTS" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB BS Rotary Main.Order change"I: Move"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Pointer" of item "RFC_IDB BS Rotary Faults.Alarm manager"IO: General"" is not supported! | TIAParser.CreateMemberInfo() | 
05/03/2024 15:39:12   | Message | Datatype "S7_Variant" of item "RFC_IDB BS Rotary Faults.Alarm manager"IO: Error"" is not supported! | TIAParser.CreateMemberInfo() | 
